Temp,Turbidity,DO,BOD ,CO2,pH,Alkalinity,Hardness ,Calcium ,Ammonia ,Nitrite ,Phosphorus ,H2S ,Plankton ,Water Quality
20.37,25.3,4.629,1.014,5.811,8.653,47.798,42.366,20.594,0.018,3.114,2.534,0.011,4561,2
29.58,73.83,7.848,4.172,1.68,9.235,33.057,62.5,243.501,0.015,3.925,1.107,0.019,3838,2
28.92,67.97,6.593,1.609,6.567,8.629,27.74,213.217,144.417,0.045,3.939,1.61,0.003,3868,2
29.91,57.39,3.828,1.095,7.041,9.292,27.438,81.322,76.34,0.033,4.111,0.025,0.015,3091,2
16.47,27.9,7.586,5.438,6.045,9.415,27.793,68.551,14.513,0.039,4.99,2.39,0.02,3641,2
27.1,40.24,5.799,4.33,5.396,6.228,42.821,144.354,15.655,0.024,2.22,2.118,0,3901,2
23.77,71.66,3.101,1.243,1.925,9.066,37.038,140.544,93.334,0.029,3.404,0.193,0.007,3426,2
18.59,17.14,5.846,2.091,7.116,6.322,236.556,231.559,98.74,0.041,2.118,0.013,0.013,2649,2
27.52,61.74,4.459,3.959,1.188,8.104,177.333,270.188,211.802,0.01,3.968,1.662,0.013,3016,2
16.58,16.27,5.525,4.791,7.642,8.088,31.68,140.927,148.133,0.025,4.112,2.195,0.02,3887,2
17.88,27.1,7.715,1.902,0.113,7.21,116.201,241.565,40.498,0.018,2.34,0.028,0.02,4104,2
17.37,51.29,7.497,1.683,4.94,8.859,32.115,236.797,178.904,0.035,3.751,0.021,0.013,4461,2
22.73,19.13,3.872,4.552,7.45,6.145,33.875,186.196,14.405,0.029,4.758,1.854,0.003,3738,2
15.62,49.67,5.74,4.985,3.373,6.366,33.99,256.568,12.142,0.028,4.81,2.069,0.012,2351,2
15.81,40.06,4.237,5.429,4.734,9.491,41.487,28.867,136.852,0.02,3.363,0.028,0.019,4488,2
20.19,70.26,3.867,2.627,4.566,8.444,228.358,96.599,15.485,0.013,4.958,1.932,0.02,5703,2
15.22,60.3,5.27,5.502,1.245,6.338,275.311,92.094,89.101,0.032,4.523,0.026,0.014,5078,2
26.4,16.51,3.436,2.036,6.776,6.726,292.894,57.698,17.977,0.003,3.168,0.011,0.007,2888,2
26.16,76.52,3.821,1.96,3.596,9.056,178.515,25.005,45.897,0.008,4.638,2.345,0.019,3129,2
17.07,25.53,4.678,5.599,6.52,7.481,33.324,180.929,90.549,0.047,3.809,2.946,0.019,2376,2
23.34,27.54,4.44,3.75,7.235,9.259,109.896,47.467,62.928,0.007,2.133,0.028,0.02,5229,2
15.04,69.51,3.043,1.33,0.014,9.289,33.386,45.019,81.391,0.039,3.219,0.027,0.008,2643,2
16.45,24.93,5.773,1.452,0.038,9.057,143.473,81.03,96.715,0.028,4.455,0.016,0.019,3486,2
29.55,47.33,5.567,4.671,4.343,8.717,145.696,122.536,219.376,0.027,2.989,1.225,0.017,4794,2
21.72,16.72,4.235,1.923,7.041,8.764,130.334,105.06,85.12,0.022,3.396,2.109,0.02,4276,2
18.66,76.7,3.088,1.516,7.299,6.007,279.942,293.625,161.017,0.045,4.876,0.023,0.019,5274,2
27.82,18.54,5.18,1.179,6.594,6.285,176.467,65.036,120.639,0.049,2.433,2.343,0.012,2998,2
22.79,74.44,5.214,1.682,3.83,6.767,288.053,98.805,231.116,0.007,2.024,2.383,0.003,2181,2
26.25,50.55,4.623,1.187,5.258,7.498,109.795,61.415,87.102,0.021,3.892,2.479,0.02,3441,2
18.24,70.31,4.08,1.852,0.337,6.373,149.494,115.938,234.063,0.019,4.565,0.021,0.02,4338,2
15.17,31.72,5.463,2.529,5.686,8.165,247.785,252.435,84.566,0.006,3.815,0.761,0.019,3755,2
27.82,45.84,7.112,1.145,6.281,9.468,211.394,22.568,13.608,0.012,2.684,0.024,0.02,4243,2
21.55,79.02,4.227,1.987,6.703,6.419,207.111,185.736,89.824,0.039,4.899,1.932,0.02,2957,2
23.35,55.37,4.95,3.847,5.37,6.001,255.95,139.534,111.395,0.007,3.891,0.267,0,3711,2
25.14,29.37,4.915,5.577,4.174,8.347,146.051,256.289,27.177,0.031,2.586,0.013,0.009,5496,2
28.57,47.18,3.563,1.584,6.286,7.072,47.545,96.708,240.606,0.009,4.04,0.019,0.019,3178,2
26.82,62.19,6.893,1.351,7.15,9.269,158.97,28.012,26.135,0.026,2.456,2.951,0.005,2247,2
23.37,25.41,4.513,1.355,1.013,7.305,27.932,32.743,181.092,0.029,2.279,0.027,0.013,2473,2
16,27.87,3.709,1.474,6.867,6.486,178.868,140.483,49.8,0.038,3.18,2.802,0.015,3509,2
27.94,19.1,7.771,1.862,6.994,9.339,275.811,32.69,110.082,0.004,2.204,1.575,0.02,3156,2
16.91,27.91,3.774,1.021,3.055,8.304,39.453,141.85,129.043,0.017,4.306,1.222,0.02,4337,2
29.65,20.05,7.953,1.629,6.298,6.165,44.059,130.323,192.038,0.014,2.673,2.304,0.02,3864,2
25.66,55.76,3.893,1.868,2.404,9.286,173.384,277.83,17.059,0.02,4.731,1.731,0.02,3157,2
15.67,30.9,3.909,5.511,3.92,6.141,31.12,69.81,21.621,0.048,2.66,0.026,0.018,2118,2
19.72,56.39,4.087,1.184,0.233,6.236,34.15,56.497,44.735,0.032,3.601,2.168,0.019,4544,2
19.4,65.18,4.614,5.941,7.058,6.317,210.893,232.632,217.75,0.008,3.031,2.251,0.011,3559,2
17.96,31.54,5.062,1.625,3.552,7.889,40.6,116.434,13.442,0.006,3.493,2.655,0.019,4193,2
16.63,42.79,4.668,2.562,5.043,9.064,34.997,72.424,85.776,0.043,2.832,2.657,0.019,3512,2
21.5,33.93,3.414,3.243,5.262,6.15,30.912,278.849,10.72,0.048,2.453,2.392,0.02,4403,2
27.69,24.89,4.927,5.311,4.439,6.015,171.621,145.858,21.007,0.018,2.869,2.641,0.02,4028,2
16.41,38.24,5.266,5.031,5.583,6.458,25.309,104.14,59.145,0.031,2.208,0.013,0.01,2316,2
20.59,55.47,7.246,1.932,6.152,9.084,42.249,27.162,246.096,0.009,3.688,0.02,0.019,4933,2
20.21,63.81,6.368,1.038,6.571,8.058,44.955,27.763,82.201,0.006,3.632,1.684,0.02,3438,2
28.46,25.92,6.961,1.701,7.054,9.48,200.68,25.367,166.898,0.006,2.054,1.05,0.02,3156,2
21.6,23.5,3.277,3.897,6.487,6.454,115.164,65.528,191.284,0.026,4.586,0.018,0.014,4244,2
20.28,28.2,6.89,4.43,1.22,9.25,173.515,116.648,217.616,0.041,3.235,2.454,0.006,5088,2
29.37,25.34,5.904,1.783,5.457,8.739,45.702,102.342,22.942,0.041,2.685,2.61,0.02,4279,2
21.94,27.09,5.301,1.851,6.979,9.299,201.517,33.735,10.755,0.019,3.315,0.015,0.011,5350,2
19.5,19.68,5.302,1.497,6.195,9.13,27.577,84.291,160.744,0.007,2.439,0.012,0.007,5453,2
26.45,69.9,4.042,5.832,3.255,8.612,30.042,92.042,152.576,0.048,3.751,2.743,0.017,4995,2
22.54,27.85,3.404,1.718,7.481,9.323,281.018,35.434,70.15,0.036,4.975,0.02,0.011,2840,2
21.66,24.08,3.156,2.887,7.437,6.334,28.124,193.737,82.54,0.036,2.267,0.014,0.014,3634,2
21.81,59.59,4.308,1.054,6.92,7.771,43.616,186.845,11.974,0.029,3.779,0.603,0.015,4061,2
28.31,19.76,4.09,4.425,3.094,6.711,29.751,270.408,78.303,0.021,4.925,1.026,0.008,2294,2
15.93,22.92,3.305,3.668,6.951,9.144,199.996,145.793,83.106,0.041,4.696,2.599,0.008,2860,2
23.18,57.98,4.622,1.51,6.322,6.434,40.213,26.436,68.213,0.046,2.82,0.011,0.011,3906,2
27.78,55.03,4.124,5.427,7.836,6.704,209.687,38.604,165.371,0.005,3.939,2.958,0.011,4348,2
28.46,59.94,7.653,1.99,7.289,6.414,224.038,188.876,132.452,0.023,2.394,1.308,0.007,3419,2
21.1,76.75,4.124,2.853,4.209,8.289,30.084,131.8,14.129,0.03,4.178,0.017,0.005,5573,2
19.25,22.95,4.35,3.87,5.475,6.786,140.291,59.078,198.621,0.045,3.311,0.899,0.019,3254,2
24.42,66.94,6.316,1.309,4.853,8.401,36.431,271.596,249.34,0.004,3.62,0.314,0.019,3526,2
22.85,48.92,5.94,4.271,3.413,9.112,48.946,25.093,13.931,0.032,2.373,2.963,0.007,2506,2
20.14,63.17,4.932,1.438,7.728,6.143,31.986,66.347,161.124,0.023,2.932,1.161,0.019,4300,2
20.06,56.44,3.244,4.285,6.643,6.042,47.731,115.357,243.983,0.004,3.558,0.011,0.02,3842,2
25.78,19.85,6.62,4.9,6.344,6.249,41.707,33.388,11.961,0.018,3.576,0.76,0.002,2405,2
23.9,45.16,5.259,2.35,6.471,8.094,32.662,42.461,10.376,0.019,0.019,0.006,0.015,2742,2
18.88,39.22,6.677,3.68,2.502,7.704,25.956,105.85,118.521,0.031,0.018,0.005,0.013,3132,2
27.8,24.7,3.652,5.484,6.318,6.012,46.323,29.75,75.486,0.021,1.64,0.007,0.017,3532,2
17.17,22.33,3.78,4.779,7.128,9.371,229.016,31.356,123.446,0.023,0.011,3.174,0.02,4127,2
26.75,70.11,5.704,2.575,7.481,8.326,47.609,224.284,17.963,0.041,0.48,3.855,0.02,4457,2
17.63,28.42,5.376,1.532,7.257,9.314,159.041,101.604,72.3,0.019,0.014,0.006,0.017,4419,2
23.03,64.16,5.628,1.451,0.747,9.417,38.507,38.709,12.952,0.009,0.786,4.753,0.02,4069,2
19.22,19.28,7.246,1.56,7.374,9.086,227.305,106.173,82.859,0.006,0.002,0.002,0.02,3559,2
19.77,22.74,4.068,1.119,7.289,8.459,33.589,291.273,14.147,0.033,0.019,3.223,0.018,3257,2
17.75,55.11,3.129,2.494,7.031,6.23,198.857,172.363,99.884,0.036,0.011,0.009,0.019,4480,2
21.91,62.44,3.198,1.97,1.312,9.315,237.476,57.533,39.276,0.021,0.005,4.02,0.018,4857,2
15.34,41.86,7.853,1.38,7.444,6.05,161.675,82.472,15.883,0.013,0.627,0.004,0.019,3211,2
21.76,24.92,7.292,2.799,7.582,6.143,44.868,109.888,179.215,0.005,0.564,4.551,0.006,3307,2
18.68,17.88,3.037,5.272,6.101,6.195,282.032,298.496,20.67,0.022,0.016,0.003,0.017,3857,2
19.09,35.75,4.569,2.239,7.9,6.049,34.126,78.379,209.876,0.002,0.444,3.118,0.008,3408,2
15.71,17.6,7.367,1.571,4.017,6.146,160.338,38.106,93.568,0.049,0.002,0.004,0.02,4869,2
16.43,56.54,4.972,2.815,5.023,9.266,214.865,158.87,180.858,0.004,1.653,3.417,0.019,4496,2
15.09,69.23,4.622,3.635,2.265,8.021,209.942,147.997,128.196,0.038,0.014,0.004,0.019,3465,2
19.24,49.49,6.044,1.896,7.394,6.903,180.692,270.227,244.599,0.036,0.019,3.825,0.02,3844,2
19.76,19.08,3.243,5.434,6.527,6.188,235.825,33.192,202.876,0.032,0.017,4.86,0.019,2471,2
23.07,61.57,4.639,5.206,6.305,6.343,27.148,276.544,81.273,0.02,0.448,3.038,0.004,3659,2
26.72,62.67,3.293,1.886,5.29,9.154,236.368,105.813,91.916,0.006,1.145,0.005,0.009,3748,2
26.18,57.45,3.78,4.096,0.345,6.722,141.026,58.704,160.585,0.001,0.388,0.006,0.019,5913,2
18.12,65.97,7.803,3.894,2.398,6.34,256.911,56.494,49.868,0.041,1.483,0.003,0.012,3743,2
27.26,60.41,7.477,3.761,5.976,7.138,156.84,31.054,14.526,0.036,0.713,0.004,0.008,3942,2
28.53,29.82,4.5,1.316,6.939,9.176,49.843,47.953,33.81,0.039,0.892,0,0.019,4612,2
25.28,25.54,3.725,1.775,1.63,8.358,31.068,129.951,194.658,0.019,1.691,0.009,0.02,3078,2
24.05,73.48,6.006,1.61,5.211,9.103,25.402,247.28,36.026,0.031,1.795,0.006,0.02,2807,2
26.4,21.57,3.563,1.795,7.93,9.469,298.928,94.392,107.28,0.009,0.598,4.216,0.019,4586,2
18.31,26.22,3.834,5.545,5.627,9.246,297.148,29.038,227.678,0.02,0.611,0.002,0.002,3224,2
23.55,23.46,7.169,4.512,1.82,6.357,30.965,166.088,106.975,0.012,1.224,0.001,0.02,4571,2
26.95,33.53,6.657,3.684,5.309,6.166,29.427,96.475,66.497,0.008,0.517,3.164,0.01,3122,2
23.78,74.62,7.596,5.423,1.553,6.14,102.538,241.073,232.154,0.03,1.378,3.472,0.02,2010,2
17.7,72.8,7.671,1.291,0.302,8.323,175.263,116.906,63.148,0.043,0.001,0.006,0.014,5072,2
26.37,67.9,6.453,1.142,7.148,6.397,46.423,218.567,67.811,0.018,0.014,3.934,0.005,3210,2
15.15,15.63,6.667,2.524,0.551,8.071,29.748,295.802,22.666,0.032,0.001,0,0.003,4396,2
16.23,23.25,5.978,2.34,5.585,9.057,246.359,275.607,22.425,0.023,1.668,4.268,0.02,3160,2
16.78,18.75,6.471,5.284,5.22,9.066,33.827,23.101,40.117,0.019,1.239,3.104,0.006,3114,2
23.63,72.57,7.455,1.251,5.323,6.346,129.995,37.62,95.326,0.003,0.002,0.007,0.001,3223,2
26.04,62.13,3.706,5.298,4.362,7.4,264.962,153.978,62.181,0.045,0.43,4.828,0.003,4533,2
15.6,65.97,3.685,5.739,5.255,6.19,126.827,65.215,85.408,0.016,0.011,0.007,0.02,2777,2
18.15,27.26,6.014,3.772,6.974,9.139,271.663,78.676,100.191,0.003,0.989,4.974,0.019,5717,2
22.07,44.95,7.344,1.179,3.282,6.314,223.849,109.829,18.936,0.004,0.486,3.363,0.02,5954,2
23.51,34.66,3.745,1.315,3.201,6.599,42.844,56.873,34.961,0.035,0.005,0.007,0.02,2551,2
25.88,16.38,5.534,4.445,5.743,6.082,232.932,51.413,12.66,0.023,1.763,0.009,0.003,4300,2
23.14,36.57,7.222,5.202,4.937,7.145,48.402,276.792,99.572,0.024,0.019,4.388,0.02,4342,2
16.73,57.67,5.156,1.242,6.689,6.833,28.45,128.279,40.055,0.007,1.272,0.003,0.019,3646,2
16.93,19.9,4.551,3.992,5.461,9.165,153.084,155.516,138.622,0.001,0.011,0.004,0.015,3674,2
20.34,18.31,6.298,1.497,5.57,6.168,228.111,196.045,13.07,0.013,1.947,0.009,0.002,3497,2
24.77,54.56,3.251,1.027,5.869,9.005,257.392,119.874,21.454,0.015,0.019,0,0.02,4678,2
28.25,73.16,4.064,2.547,4.992,9.433,32.342,48.905,22.481,0.039,0.19,3.748,0.006,5817,2
24.9,18.56,6.358,1.781,7.666,8.68,49.556,84.237,89.876,0.046,0.007,3.923,0.019,2536,2
23.34,30.69,3.284,4.632,5.605,8.053,285.081,48.982,226.311,0.026,0.019,4.364,0.012,2410,2
25.49,66.72,4.609,1.652,7.254,9.123,260.436,227.792,196.54,0.046,0.011,4.129,0.016,2043,2
26.19,27.07,3.573,1.951,0.656,9.068,28.374,93.222,48.795,0.029,0.008,3.181,0.02,2749,2
22.85,71.28,4.683,3.702,6.328,7.003,49.566,123.276,133.706,0.023,0.018,3.11,0.019,3232,2
29.76,36.03,4.67,1.898,0.75,8.217,49.237,275.94,15.142,0.031,0.004,3.525,0.02,4515,2
18.12,17.41,4.566,1.074,6.671,6.309,226.157,105.606,33.394,0.017,1.107,0.006,0.017,5528,2
29.33,20.44,3.693,5.446,1.907,7.576,25.734,267.291,54.985,0.044,0.93,0,0.019,3001,2
29.1,74.98,3.807,2.734,3.443,7.413,183.492,55.409,29.649,0.036,0.005,0.004,0.019,2813,2
28.26,58.38,4.321,5.672,0.495,6.349,123.071,65.246,23.921,0.025,0.964,0,0.019,2720,2
25.38,45.44,5.139,4.858,6.202,9.057,104.445,90.865,66.982,0.018,0.013,0.004,0.019,4421,2
28.07,23.52,4.769,3.113,1.369,6.238,223.11,20.974,137.587,0.004,0.481,0.007,0.019,3324,2
17.79,23.59,4.056,2.706,7.013,7.521,28.989,115.722,182.738,0.034,1.72,0.005,0.019,4231,2
22.73,27.16,7.817,1.26,7.241,9.331,178.565,67.304,152.892,0.018,0.317,0.004,0.019,4479,2
24.63,18.9,3.823,1.09,4.489,9.334,32.512,119.078,212.898,0.042,0.019,4.204,0.009,5413,2
18.09,79.69,6.188,2.333,5.196,6.878,47.21,106.039,12.102,0.025,0.014,4.693,0.002,4353,2
29.35,79.14,4.887,1.375,0.834,9.13,25.545,84.967,31.237,0.006,0.012,0.009,0.006,5780,2
22.52,38.62,6.824,1.982,4.899,9.205,137.824,54.083,87.808,0.043,0.011,4.87,0.01,2264,2
26.63,25.76,3.908,1.574,7.79,8.155,136.871,210.894,21.499,0.03,0.026,3.186,0.019,2612,2
23.99,62.71,3.71,3.061,4.016,6.134,29.983,119.79,121.909,0.035,0.077,4.707,0.02,5762,2
21.26,26.14,3.853,1.002,7.95,9.206,33.931,181.204,22.721,0.017,0.017,4.819,0.002,2703,2
27.64,23.97,3.741,1.759,6.332,7.607,250.446,35.379,53.531,0.004,0.019,0.004,0.008,5629,2
27.55,72.19,3.364,3.918,1.701,7.708,209.08,30.514,63.145,0.023,0.553,3.509,0.014,3642,2
25.51,27.34,3.391,1.25,5.548,6.316,48.783,130.556,17.825,0.031,0.004,4.312,0.014,2036,2
32.04,22.11,5.326,1.384,9.904,6.036,45.096,64.496,69.044,0.002,0.022,0.007,0.02,4434,2
34.74,25.58,3.709,3.131,9.54,6.094,37.029,275.392,232.754,0.033,0.003,0.002,0.02,2476,2
34.6,20.05,3.645,1.132,9.633,6.005,100.484,298.119,80.938,0.039,1.147,0.001,0.019,3654,2
30.61,44.06,5.337,3.609,8.852,7.225,255.61,34.639,112.62,0.009,0,4.619,0.01,5577,2
32.96,17.01,6.196,2.059,8.6,6.103,186.58,201.808,12.261,0.021,0.001,3.208,0.001,3743,2
31.8,44.57,7.039,1.244,9.361,9.386,242.795,147.336,11.889,0.044,0.017,3.261,0.019,4744,2
33.6,27.31,5.402,1.851,9.717,7.594,39.67,282.968,22.807,0.022,0.777,3.228,0.013,5784,2
32.62,45.73,6.453,2.139,9.744,7.73,160.606,123.531,19.782,0.046,1.598,4.081,0.016,3889,2
31.3,51.78,5.983,4.492,9.794,6.381,101.176,163.743,49.744,0.013,0.401,3.243,0.02,4092,2
32.47,37.1,3.358,1.453,9.687,7.611,122.875,77.557,115.208,0.031,1.171,4.795,0.019,4326,2
34.28,22.77,7.02,1.566,8.97,6.958,297.242,205.944,58.411,0.048,0.005,0.006,0.019,2262,2
33.62,18.61,6.174,2.367,8.977,9.462,279.041,228.83,10.779,0.017,0.017,4.399,0.011,2451,2
31,18.72,3.903,4.86,8.131,9.375,293.161,230.805,88.597,0.04,0,4.121,0.019,2905,2
30.79,37.49,6.087,1.911,8.914,6.418,138.979,86.458,32.858,0.007,0.057,0.01,0.007,2888,2
31.85,19.43,3.901,2.337,9.191,6.615,33.225,246.529,15.041,0.013,0.005,0.004,0.017,3545,2
34.31,19.4,5.318,2.711,8.22,6.693,260.985,131.351,10.056,0.007,1.786,0.006,0,4525,2
33.42,20.99,6.811,1.443,8.688,6.606,34.721,39.167,16.11,0.001,0.39,3.389,0.019,3679,2
33.17,26.61,3.618,2.064,8.528,9.382,237.673,89.477,17.738,0.034,0.534,4.179,0.016,3131,2
30.71,61.66,3.714,1.742,9.16,7.203,38.409,71.069,96.956,0.005,0.005,4.386,0,2548,2
30.4,79.23,4.799,3.531,8.871,6.175,136.354,290.993,42.007,0.027,0.647,3.386,0.02,3547,2
34.38,18.98,4.444,3.788,8.83,6.437,33.644,35.009,13.181,0.009,0.017,0.006,0.01,3655,2
32.1,67.32,7.274,4.783,8.108,6.044,163.079,91.575,33.593,0.011,0.355,4.536,0.019,4345,2
32.44,30.9,4.346,1.738,8.519,6.494,36.064,147.623,44.536,0.022,0.007,0.008,0.019,3875,2
32.3,41.58,7.97,4.673,8.488,6.662,35.297,42.912,191.339,0.007,0.018,0.01,0.02,3818,2
32.58,47.06,3.382,1.604,9.418,9.204,26.357,149.1,118.67,0.01,0.506,0,0.019,5704,2
31.36,41.16,5.185,1.207,9.318,8.158,206.397,249.14,31.336,0.047,1.207,0.292,0.067,2798,2
31.16,31.47,6.655,4.08,8.238,9.472,49.52,39.666,22.827,0.015,0.614,0.023,0.023,2054,2
34.5,17.93,6.325,4.685,8.258,6.179,250.959,209.045,40.877,0.012,0.015,0.021,0.065,2294,2
34.54,32.76,4.12,1.413,8.156,6.435,169.377,61.175,239.842,0.014,0.773,1.846,0.026,3740,2
33.02,17.64,4.02,2.199,9.47,9.06,47.277,149.27,72.561,0.019,0.004,1.455,0.061,4174,2
31.83,33.83,4.338,3.149,9.112,6.494,230.447,54.028,10.068,0.017,1.864,0.176,0.071,3606,2
32.99,25.1,3.493,1.174,9.669,6.484,42.32,141.037,96.288,0.011,1.416,2.991,0.098,3136,2
33.34,16.23,3.789,1.884,8.212,6.963,186.063,144.285,53.775,0.003,0.014,0.884,0.031,3699,2
34.47,52.38,3.996,5.6,8.513,7.376,34.787,172.73,43.43,0.044,0.01,2.144,0.064,2483,2
30.44,51.1,4.943,4.747,8.108,6.206,218.385,230.078,30.738,0.02,1.078,0.017,0.035,3818,2
32.7,79.55,3.031,1.908,9.313,7.726,274.524,76.293,22.7,0.02,1.063,1.418,0.024,3261,2
32.14,41.46,3.903,1.488,8.555,9.289,153.769,65.215,11.978,0.027,0.001,2.3,0.082,3544,2
33.09,67.9,3.687,5.551,9.418,6.677,42.784,125.423,90.807,0.033,0.578,1.904,0.078,3740,2
32.79,23.71,5.636,1.727,8.261,8,39.574,89.133,66.961,0.015,1.712,0.014,0.076,4838,2
31.13,57.03,4.115,1.085,9.048,9.449,118.361,103.455,157.79,0.01,0.007,0.592,0.04,5955,2
30.52,26.75,7.084,1.443,8.092,7.809,38.274,87.903,21.652,0.037,0.009,2.317,0.06,4547,2
30.05,20.59,7.798,1.564,8.203,9.319,40.561,278.751,14.669,0.016,0.393,2.146,0.053,4990,2
30.3,30.79,7.316,4.614,8.938,9.214,41.726,131.744,57.607,0.014,0.011,0.16,0.088,2010,2
31.61,57.78,3.05,5.597,9.421,6.088,279.541,190.263,14.016,0.046,0.018,0.631,0.078,4174,2
33.9,16.99,3.951,4.889,9.203,6.174,34.23,244.599,128.79,0.017,1.096,1.205,0.048,3325,2
31.68,30.97,5.329,1.375,8.41,6.62,30.962,163.344,126.947,0.013,0.004,1.825,0.07,4008,2
33.1,32.36,3.036,4.062,9.238,9.27,32.521,35.034,19.076,0.035,0.12,1.804,0.044,5578,2
34.96,18.1,5.031,3.586,9.398,6.338,147.643,248.994,24.294,0.03,0.008,0.858,0.071,5928,2
33.24,26.76,6.052,1.335,8.63,6.405,174.771,92.233,208.581,0.043,1.735,1.001,0.048,3018,2
32.7,26.99,4.334,2.858,9.61,7.709,175.4,37.869,12.807,0.037,0.017,0.042,0.027,4996,2
31.16,76,6.721,1.498,8.356,7.974,278.698,22.418,16.517,0.011,1.845,0.852,0.063,2216,2
33.7,19.65,4.21,4.343,8.483,7.088,122.78,233.512,204.503,0.033,0.011,1.624,0.072,3290,2
34.44,57.6,3.25,2.056,9.189,7.525,27.841,55.118,33.192,0.04,1.745,0.408,0.05,4622,2
34.3,25.84,4.433,3.519,9.736,8.866,46.789,132.975,11.672,0.004,0.012,0.012,0.068,4802,2
32.99,63.48,3.492,1.426,9.637,6.091,43.051,282.067,117.754,0.015,0.011,1.083,0.055,4137,2
33.27,56.27,3.909,2.111,9.18,6.649,48.247,67.568,66.712,0.012,0.016,1.733,0.035,3909,2
34.58,73.84,3.06,1.05,8.005,7,192.257,200.42,83.476,0.022,0.896,0.017,0.049,5792,2
32.17,22.8,3.678,1.754,9.889,7.63,209.611,122.508,31.12,0.046,0.009,0.013,0.094,5918,2
31.45,38.4,7.22,2.308,9.585,6.074,280.746,174.092,96.24,0.037,0.517,2.971,0.031,3433,2
33.16,60.62,4.142,4.935,8.799,8.004,132.293,83.527,130.545,0.002,0.864,1.813,0.099,2512,2
31.48,16.43,3.275,1.456,9.747,6.45,34.665,47.382,168.982,0.019,1.23,1.724,0.036,3728,2
33.11,15.6,5.986,2.918,9.349,9.178,37.946,259.124,17.994,0.045,0.003,1.619,0.051,2109,2
30.24,40.95,4.071,3.171,8.485,6.659,117.779,71.272,209.695,0.012,0.002,0.012,0.052,4166,2
34.97,19.53,3.052,1.476,8.337,6.497,288.576,217.388,177.61,0.043,0.007,0.184,0.025,4956,2
31.03,46.17,3.551,2.518,9.722,9.212,294.626,75.246,99.174,0.016,0.201,0.462,0.04,3586,2
33.04,27.25,3.109,3.537,8.653,6.195,187.147,51.681,11.106,0.04,0,0.02,0.06,4686,2
31.74,31.27,6.67,1.111,8.65,7.795,35.56,142.496,64.707,0.017,1.095,0.484,0.027,2619,2
33.59,21.58,4.468,5.578,8.8,6.262,41.031,48.961,49.178,0.03,1.68,0.934,0.086,2085,2
30.14,33.95,4.879,1.357,9.527,6.39,103.109,37.307,19.603,0.01,1.725,2.122,0.057,2277,2
30.33,40.93,7.05,3.158,8.328,6.924,48.219,84.851,125.947,0.012,0.344,1.956,0.072,4920,2
34.64,25.92,4.167,1.241,9.377,9.436,41.514,116.636,86.164,0.019,0.007,1.956,0.036,5182,2
30.44,26.9,5.569,1.113,9.287,8.097,46.269,77.79,21.854,0.002,0.01,2.28,0.09,2797,2
31.66,37.62,4.849,4.797,9.643,9.123,25.649,109.136,152.048,0.02,0.661,0.027,0.086,2993,2
32.63,40.83,7.986,1.386,8.757,6.84,37.265,92.969,19.922,0.038,0.01,2.309,0.028,2394,2
31.23,52.66,7.121,4.948,8.224,7.847,45.442,279.102,162.525,0.034,0.007,2.488,0.033,2773,2
32.71,48.98,4.342,1.982,9.719,6.297,267.011,35.823,238.904,0.003,0.019,0.022,0.038,2678,2
33.9,26.68,7.051,1.497,9.426,8.197,35.56,207.622,96.835,0.034,1.249,1.731,0.098,4193,2
32.61,37.91,3.538,4.301,9.15,7.223,220.952,157.483,171.63,0.004,1.596,0.299,0.079,3022,2
34.66,31.21,5.464,1.488,9.482,6.023,29.909,54.953,25.716,0.022,0.006,0.019,0.042,4270,2
30.74,21.62,4.461,1.494,9.507,8.244,43.435,117.387,88.806,0.04,0.53,2.725,0.051,4641,2
32.08,25.09,6.998,1.936,9.11,6.713,25.385,165.446,13.25,0.017,0.901,0.692,0.069,2082,2
31.4,20.15,4.249,5.226,9.602,6.201,29.951,41.885,31.461,0.04,0.001,0.022,0.067,3016,2
32.99,42.2,6.862,1.022,9.341,9.477,190.292,56.378,21.965,0.008,0.003,2.091,0.039,4889,2
30.18,52.84,5.892,1.548,9.07,9.054,189.587,82.548,31.976,0.035,1.795,0.026,0.043,3475,2
30.32,27.7,4.107,1.304,9.372,9.224,124.045,257.167,24.803,0.014,0.098,2.383,0.085,3130,2
31.61,40.14,3.57,1.109,9.91,9.084,131.937,144.158,20.16,0.006,0.008,0.019,0.095,3460,2
30.49,68.73,3.141,5.838,9.256,6.658,45.977,262.387,37.197,0.034,0.848,2.295,0.026,3681,2
30.85,73.08,7.307,5.008,9.638,6.177,41.498,67.173,142.702,0.038,1.309,1.575,0.041,3468,2
31.86,21.56,4.239,2.096,8.378,6.415,210.302,128.776,74.549,0.033,1.924,0.271,0.024,5664,2
30.2,23.4,5.154,2.481,9.503,6.216,27.931,213.642,23.087,0.048,1.346,0.021,0.057,2830,2
33.55,41.87,7.085,3.526,8.443,6.646,111.888,49.229,38.977,0.019,0,0.787,0.044,3850,2
33.21,74.37,7.318,1.727,8.833,6.381,285.381,285.213,71.615,0.01,0.015,1.35,0.051,2061,2
30.87,71.12,4.28,3.494,9.582,9.321,290.021,36.046,14.5,0.004,0.008,0.019,0.044,3421,2
30.31,20.38,5.369,2.967,8.8,6.174,42.604,84.581,21.557,0.019,0,2.914,0.022,5970,2
